Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 11:18:52.054,65083.438,0.138,-0.382,-0.914,0.013,-0.018,0.013,-0.112,0.031,-0.093,0.149,0.392,0.484
2024-10-15 11:18:52.167,65083.558,0.147,-0.354,-0.924,-0.01,-0.004,0.015,-0.285,0.075,-0.122,0.158,0.362,0.475
2024-10-15 11:18:52.286,65083.677,0.157,-0.33,-0.931,-0.013,-0.016,0.021,-0.272,0.037,-0.169,0.167,0.337,0.462
2024-10-15 11:18:52.406,65083.797,0.175,-0.278,-0.945,-0.079,-0.065,0.026,-0.611,0.184,-0.444,0.183,0.281,0.438
2024-10-15 11:18:52.525,65083.917,0.209,-0.206,-0.956,-0.064,-0.059,0.037,-0.486,0.105,-0.761,0.215,0.207,0.375
2024-10-15 11:18:52.646,65084.037,0.234,-0.134,-0.963,-0.058,-0.008,0.024,-0.515,0.102,-0.845,0.238,0.134,0.299
2024-10-15 11:18:52.765,65084.157,0.263,0.018,-0.965,-0.055,-0.079,0.013,-1.475,0.433,-1.183,0.266,-0.018,0.216
2024-10-15 11:18:52.885,65084.276,0.302,0.251,-0.92,-0.02,-0.061,0.032,-2.048,0.464,-1.41,0.317,-0.254,0.116
2024-10-15 11:18:53.005,65084.396,0.285,0.549,-0.786,0.015,0.109,0.146,-2.606,-0.134,-0.556,0.348,-0.582,0.104
2024-10-15 11:18:53.126,65084.516,0.213,0.679,-0.703,0.084,0.13,0.136,-0.102,-0.946,0.012,0.294,-0.746,0.142
2024-10-15 11:18:53.245,65084.636,0.176,0.621,-0.764,0.033,-0.058,-0.018,0.341,-0.19,0.174,0.227,-0.67,0.141
2024-10-15 11:18:53.364,65084.756,0.145,0.594,-0.791,-0.008,-0.076,0.053,-0.039,-0.408,0.011,0.181,-0.636,0.133
2024-10-15 11:18:53.485,65084.875,0.133,0.607,-0.783,0.156,-0.027,-0.01,-0.569,-0.605,-0.213,0.169,-0.652,0.123
2024-10-15 11:18:53.604,65084.995,0.167,0.617,-0.769,-0.074,0.057,-0.052,0.499,0.474,-0.547,0.213,-0.665,0.143
2024-10-15 11:18:53.723,65085.115,0.177,0.606,-0.776,-0.005,-0.124,-0.047,-0.762,0.106,-0.014,0.225,-0.651,0.15
2024-10-15 11:18:53.843,65085.235,0.158,0.641,-0.751,-0.0,-0.032,-0.015,-0.142,0.003,0.155,0.207,-0.696,0.146
2024-10-15 11:18:53.963,65085.355,0.14,0.709,-0.691,0.005,0.049,0.034,-0.556,-0.357,-0.001,0.2,-0.788,0.161
2024-10-15 11:18:54.083,65085.474,0.122,0.733,-0.669,-0.03,0.025,0.007,-0.016,-0.056,0.141,0.18,-0.822,0.179
2024-10-15 11:18:54.202,65085.594,0.139,0.726,-0.673,-0.008,-0.023,0.004,-0.197,0.105,0.16,0.204,-0.813,0.203
2024-10-15 11:18:54.323,65085.714,0.147,0.714,-0.684,0.0,-0.008,0.022,0.236,-0.177,0.038,0.211,-0.796,0.217
